城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,车龄
长沙,阿尔法·罗密欧 Giulia 2017款 2.0T 200HP 豪华版,2017,阿尔法·罗密欧,2.6,2,自动,37.97,23.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4643/1860/1436,2820,480,-,涡轮增压,4缸,200,330,汽油,92号,直喷,4
上海,阿尔法·罗密欧 Giulia 2017款 2.0T 200HP 豪华版,2017,阿尔法·罗密欧,9.33,2,自动,,23.5,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4643/1860/1436,2820,480,-,涡轮增压,4缸,200,330,汽油,92号,直喷,4
无锡,阿尔法·罗密欧 Giulia 2017款 2.0T 200HP 精英版,2017,阿尔法·罗密欧,3.09,2,自动,,20,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4643/1860/1436,2820,480,-,涡轮增压,4缸,200,330,汽油,92号,直喷,4
成都,阿尔法·罗密欧 Giulia 2017款 2.0T 200HP 精英版,2017,阿尔法·罗密欧,2.48,2,自动,34.71,20,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4643/1860/1436,2820,480,-,涡轮增压,4缸,200,330,汽油,92号,直喷,4
大连,阿尔法·罗密欧 Stelvio 2017款 2.0T 280HP 豪华版,2017,阿尔法·罗密欧,4.6,2,自动,,28.37,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4687/1903/1688,2818,499-1600,1880,涡轮增压,4缸,280,400,汽油,92号,直喷,4
大连,阿尔法·罗密欧 Stelvio 2017款 2.0T 280HP 豪华版,2017,阿尔法·罗密欧,4.6,2,自动,49.58,28.37,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4687/1903/1688,2818,499-1600,1880,涡轮增压,4缸,280,400,汽油,92号,直喷,4
成都,奥迪A1 2012款 1.4 TFSI Urban(进口),2012,奥迪A1,6,1.4,自动,,7.98,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1740/1416,2469,270-920,1215,涡轮增压,4缸,122,200,汽油,95号,直喷,9
德阳,奥迪A1 2012款 1.4 TFSI Urban(进口),2012,奥迪A1,6.3,1.4,自动,24.4,7.98,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1740/1416,2469,270-920,1215,涡轮增压,4缸,122,200,汽油,95号,直喷,9
广州,奥迪A1 2013款 30 TFSI 中国限量版 Ego(进口),2013,奥迪A1,12.68,1.4,自动,14.63,7.68,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1740/1416,2469,270-920,-,涡轮增压,4缸,122,200,汽油,95号,直喷,8
厦门,奥迪A1 2012款 1.4 TFSI Urban(进口),2012,奥迪A1,7.66,1.4,自动,13.56,7.28,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1740/1416,2469,270-920,1215,涡轮增压,4缸,122,200,汽油,95号,直喷,9
武汉,奥迪A1 2014款 30 TFSI Sportback时尚型(进口),2014,奥迪A1,5.84,1.4,自动,10.84,8.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1746/1422,2469,270-920,1235,涡轮增压,4缸,122,200,汽油,95号,直喷,7
西安,奥迪A1 2013款 30 TFSI Sportback Ego(进口),2013,奥迪A1,2.16,1.4,自动,,9.38,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1746/1422,2469,270-920,1260,涡轮增压,4缸,122,200,汽油,95号,直喷,8
西安,奥迪A1 2013款 30 TFSI Sportback Ego(进口),2013,奥迪A1,2.16,1.4,自动,28.2,9.38,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1746/1422,2469,270-920,1260,涡轮增压,4缸,122,200,汽油,95号,直喷,8
厦门,奥迪A1 2012款 1.4 TFSI Urban(进口),2012,奥迪A1,7.66,1.4,自动,24.4,7.28,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1740/1416,2469,270-920,1215,涡轮增压,4缸,122,200,汽油,95号,直喷,9
武汉,奥迪A1 2014款 30 TFSI Sportback时尚型(进口),2014,奥迪A1,5.84,1.4,自动,22.77,8.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1746/1422,2469,270-920,1235,涡轮增压,4缸,122,200,汽油,95号,直喷,7
广州,奥迪A1 2013款 30 TFSI 中国限量版 Ego(进口),2013,奥迪A1,12.68,1.4,自动,29.5,7.68,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,3954/1740/1416,2469,270-920,-,涡轮增压,4缸,122,200,汽油,95号,直喷,8
郑州,奥迪A1 2016款 30 TFSI Sportback Design风尚版(进口),2016,奥迪A1,5.12,1.4,自动,20.6,11.58,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,3987/1746/1422,2458,270-920,1220,涡轮增压,4缸,125,225,汽油,95号,直喷,5
石家,奥迪A3 2020款 Limousine 35 TFSI 时尚型,2020,奥迪A3,0.01,1.4,自动,27.33,18,国六,0,非运营使用性质,公户产权性质,到店服务看车方式,0,4462/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,1
鞍山,奥迪A3 2020款 Limousine 35 TFSI 运动型,2020,奥迪A3,0.5,1.4,自动,25.47,17.98,国六,0,非运营使用性质,公户产权性质,到店服务看车方式,0,4462/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,1
石家,奥迪A3 2020款 Limousine 35 TFSI 时尚型,2020,奥迪A3,0.01,1.4,自动,23.85,18,国六,0,非运营使用性质,公户产权性质,到店服务看车方式,0,4462/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,1
长沙,奥迪A3 2020款 改款 Limousine 35 TFSI 进取型 国VI,2020,奥迪A3,0.84,1.4,自动,21.62,15.88,国六,1,非运营使用性质,公户产权性质,到店服务看车方式,0,4457/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,1
广州,奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型,2018,奥迪A3,5.17,1.4,自动,,15.13,国五,2,非运营使用性质,公户产权性质,到店服务看车方式,0,4321/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,3
广州,奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型,2018,奥迪A3,5.17,1.4,自动,23.21,15.13,国五,2,非运营使用性质,公户产权性质,到店服务看车方式,0,4321/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,3
福州,奥迪A3 2019款 Limousine 35 TFSI 进取型 国V,2019,奥迪A3,5.99,1.4,自动,27.78,13.7,国五,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4457/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,2
福州,奥迪A3 2017款 Limousine 35 TFSI 运动型,2017,奥迪A3,9.41,1.4,自动,9.76,13.6,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4462/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,4
郑州,奥迪A3 2019款 Limousine 35 TFSI 进取型 国VI,2019,奥迪A3,1.78,1.4,自动,,14.98,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4457/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,2
西安,奥迪A3 2019款 Limousine 35 TFSI 进取型 国V,2019,奥迪A3,2.6,1.4,自动,21.12,14.89,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4457/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,2
德阳,奥迪A3 2020款 Limousine 35 TFSI 进取型,2020,奥迪A3,3.5,1.4,自动,21.19,14.66,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4457/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,1
长沙,奥迪A3 2015款 Limousine 45 TFSI S line 豪华型(进口),2015,奥迪A3,8.98,2,自动,33.09,16.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4471/1796/1391,2618,425,1435,涡轮增压,4缸,220,350,汽油,95号,混合喷射,6
